#timestamp [ns], b_x, b_y, b_z
1455214178525001216,-13.700053215,69.3200302124,132.837417603
1455214178530166688,-13.9286851883,69.2632141113,132.59564209
1455214178535293280,-14.1115903854,69.2177581787,132.40222168
1455214178540406880,-13.7260770798,69.1768951416,132.494110107
1455214178545588448,-13.4176664352,69.1442108154,132.567611694
1455214178550746944,-13.1709375381,69.118057251,132.626419067
1455214178555861280,-12.9735546112,69.0971374512,132.673461914
1455214178561121600,-12.8156480789,69.0803985596,132.711090088
1455214178566372480,-12.931927681,69.0733337402,132.927200317
1455214178571711392,-13.0249509811,69.0676803589,133.100082397
1455214178574631296,-13.0993700027,69.0631637573,133.238388062
1455214178579841824,-13.1589050293,69.0595474243,133.3490448
1455214178584962496,-13.206533432,69.0566558838,133.437561035
1455214178590080800,-13.115562439,69.0525360107,133.518478394
1455214178595328032,-13.0427856445,69.0492401123,133.583206177
1455214178600454944,-12.9845647812,69.0466079712,133.634994507
1455214178605556480,-12.9379873276,69.0445022583,133.676422119
1455214178610776544,-12.9007253647,69.0428161621,133.709564209
1455214178617275296,-12.8883905411,69.189453125,133.531768799
1455214178620178368,-12.8785228729,69.3067626953,133.389526367
1455214178625304384,-12.8706283569,69.4006118774,133.275741577
1455214178630473024,-12.8643131256,69.475692749,133.184707642
1455214178635641120,-12.8592605591,69.5357513428,133.111877441
1455214178640776736,-13.211353302,69.5946426392,133.43572998
1455214178645892064,-13.4930276871,69.6417617798,133.69480896
1455214178651054688,-13.7183675766,69.6794509888,133.902069092
1455214178656150080,-13.898639679,69.709602356,134.067871094
1455214178661593600,-14.0428571701,69.7337265015,134.200515747
1455214178666871008,-13.8293190002,69.4353408813,133.508331299
1455214178670146176,-13.6584882736,69.1966323853,132.954574585
1455214178675376832,-13.5218238831,69.0056610107,132.511566162
1455214178680534912,-13.4124927521,68.8528823853,132.157165527
1455214178685717664,-13.3250274658,68.7306594849,131.873641968
1455214178690849536,-12.9696846008,68.9361190796,132.083236694
1455214178695994720,-12.6854104996,69.1004867554,132.250915527
1455214178701307808,-12.4579906464,69.2319869995,132.385055542
1455214178706461216,-12.276055336,69.3371810913,132.492370605
1455214178711629728,-12.1305065155,69.4213409424,132.578216553
1455214178716955392,-12.3954944611,69.0419616699,132.610916138
1455214178720178464,-12.6074848175,68.7384567261,132.637069702
1455214178725538016,-12.7770776749,68.4956588745,132.657989502
